id,name
1,Secretaría de Seguridad Pública
2,Secretaría de Administración Penitenciaria y Socioeducativa
3,Tribunal de Justicia
4,Secretaría de Salud
5,Secretaría de Educación
6,Secretaría de Asistencia Social
7,Secretaría de Movilidad y Urbanismo
8,Departamento Municipal de Desarrollo Urbano
9,Instituto de Planificación e Investigación Urbana
10,Defensoría Municipal
11,Departamento de Finanzas
12,Departamento de Planificación
13,Departamento de Comunicación
14,"Secretaría de Infraestructuras, Obras y Servicios Públicos"
15,Fiscalía General
16,Departamento de Limpieza Urbana y Mantenimiento
17,"Secretaría de Licitaciones, Contratos y Adquisiciones"
18,Secretaría de Transportes e Infraestructura
19,"Secretaría de Turismo, Cultura y Deporte"
20,Secretaría de Medio Ambiente y Desarrollo Sostenible
21,Secretaría de Vivienda y Desarrollo Urbano
22,"Secretaría Ejecutiva de Desarrollo Económico, Ciencia y Tecnología"
23,Secretaría de Políticas Públicas para la Mujer y la Igualdad de Género
24,Secretaría de Políticas Públicas para Personas con Discapacidad
25,Secretaría de Políticas Públicas para Personas LGBTQIA+
26,Secretaría de Políticas Públicas para la Infancia y la Juventud
27,Secretaría de Políticas Públicas para la Tercera Edad
