code,name,justification,evidences,cost_level,efficiency_level,cause_problem_codes,reference_urls,department_ids,product_ids
INI0001,Mejora de la calidad de la educación infantil,"Se refiere a un tipo de iniciativa diseñada para ayudar a alcanzar mayores niveles de éxito escolar, con especial atención a los niños en edad preescolar (entre 4 y 5 años) que viven en la pobreza, o que presentan factores de riesgo de fracaso escolar (niños diagnosticados con retraso en el desarrollo cognitivo, que son hijos de padres solteros, que tienen padres con un bajo nivel educativo, etc.). La experiencia más famosa se refiere al programa aplicado en la Perry Elementary School (EE.UU.), que se basaba en el enfoque/plan de estudios de ""aprendizaje activo"" HighScope®, centrado en el desarrollo intelectual, social y físico de los niños mediante intervenciones diarias en el aula, con formación en habilidades de toma de decisiones y resolución de problemas. El programa también incorporaba visitas semanales a los hogares de los padres de los alumnos para garantizar mayores niveles de participación de los padres en el proceso educativo de los niños.","La educación preescolar tiene un potencial transformador, con una gran capacidad para influir en el rendimiento de los alumnos en los años posteriores al jardín de infancia, sobre todo por sus efectos en la reducción del retraso escolar y en el aprendizaje de las matemáticas (hasta la enseñanza secundaria, incluida la primaria). Además, quienes participan en el programa también presentan una menor prevalencia de episodios de suspensión escolar y, en la edad adulta, menos condenas por faltas o delitos violentos. El programa también genera beneficios intergeneracionales, en la medida en que los hijos de los participantes también han mostrado una mayor probabilidad de terminar la enseñanza secundaria sin suspensos, y una mayor probabilidad de tener un empleo",,promising,"DC0010-PE0002,DC0010-PE0012","https://plataformadeevidencias.iadb.org/pt-br/casos-avaliados/metodo-highscope-para-pre-escola-experimento-da-pre-escola-perry,https://highscope.org/perry-preschool-project/,https://highscope.org/our-practice/preschool-curriculum,https://eclkc.ohs.acf.hhs.gov/curriculum/consumer-report/curricula/highscope-preschool-curriculum,https://eclkc.ohs.acf.hhs.gov/programs/article/head-start-approach,https://highscope.org/wp-content/uploads/2018/03/COR-Advantage-to-KDIs_March-2018-SS.pdf,http://portal.mec.gov.br/seb/arquivos/pdf/Educinf/eduinfparqualvol1.pdf,http://portal.mec.gov.br/index.php?option=com_docman&view=download&alias=13119-relatorio-versao-internet-final-pdf-pdf&category_slug=maio-2013-pdf&Itemid=30192","5,26","18,43,72,73,80,69"
INI0002,Apoyo educativo y programas de tutoría,"Los programas de tutoría pretenden prevenir o cambiar la trayectoria de la violencia juvenil. Mediante el establecimiento de un vínculo de confianza y reciprocidad entre el adolescente y una persona de referencia, es decir, un mentor, pretenden favorecer la resolución de problemas relacionados con comportamientos de riesgo asociados a la violencia juvenil. Este tipo de intervención se desarrolla a través de sesiones continuas de asesoramiento entre el participante y el mentor, y también puede incluir una acción proactiva en la búsqueda de oportunidades de prácticas o de integración en actividades comunitarias, así como el contacto directo con las familias y los centros escolares de los participantes.","Ha tenido efectos positivos en la reducción de la delincuencia juvenil; también ha tenido efectos positivos en la asistencia, el rendimiento escolar y la mejora de las habilidades sociales.",,promising,"DC0009-PE0002,DC0010-PE0002,DC0010-PE0012","https://plataformadeevidencias.iadb.org/pt-br/tipos-solucoes/mentoria,https://www.bbbs.org/programs/","5,26","18,71,43,81,69"
INI0003,Programas de formación profesional e inclusión productiva de jóvenes en situación de riesgo,"Corresponde a un tipo de programa diseñado para mejorar el acceso al empleo y a los ingresos de jóvenes adultos con ciertos factores de riesgo (miembros de hogares monoparentales y/o encabezados por mujeres, adolescentes de familias económicamente vulnerables con dificultades de aprendizaje, y jóvenes con baja escolaridad y/o sin formación profesional), que implica actividades de formación y capacitación (a nivel técnico-profesional), así como tutorías para recuperar o acelerar el progreso académico. En algunos casos, estos componentes también pueden asociarse a programas de desarrollo de habilidades socioemocionales y de uso estructurado del tiempo libre (ejercicios recreativos, y/o que impliquen actividades artísticas, teatrales, etc.), así como a la coordinación de esfuerzos para (re)insertar a los jóvenes en el mercado laboral (programas de prácticas, o de inserción laboral efectiva).","Un estudio brasileño demostró que un programa de este tipo era eficaz para aumentar el empleo y los salarios entre los jóvenes que participaban en la intervención. Sin embargo, sólo los participantes con mayores habilidades socioemocionales presentaron mayores tasas de reducción del consumo de alcohol y menor victimización delictiva. En general, no se observaron efectos en la reducción del consumo de drogas. En otros casos, otros estudios han observado un impacto global positivo de los proyectos de fomento de la empleabilidad (empleos de verano), al menos a corto plazo, en la reducción de las tasas de delincuencia juvenil y encarcelamiento.",,promising,"DC0010-PE0002,DC0011-PE0002,DC0010-PE0012,DC0011-PE0012,DC0038-PE0012","https://plataformadeevidencias.iadb.org/pt-br/casos-avaliados/programa-galpao,http://aplauso.art.br/quem-somos/,https://access.nyc.gov/programs/summer-youth-employment-program-syep/,https://www.blueprintsprograms.org/program-search/?localPageSize=5000&programType%5B%5D=909&keywords=","5,6,26","52,52,43,69"
INI0004,Programas después de la escuela,"Se refiere a iniciativas para el uso estructurado del tiempo libre de los estudiantes, que pueden incluir no sólo actividades educativas (educación a tiempo completo), sino también actividades deportivas, recreativas, artísticas y culturales, siempre con el objetivo de reducir la exposición de los niños y adolescentes a factores de riesgo y promover el desarrollo de competencias socioemocionales, así como talentos capaces de ofrecer alternativas, en términos de trayectorias de vida no relacionadas con actividades delictivas, criminales o delictivas.","Ha contribuido a mejorar el rendimiento escolar, a fomentar el vínculo entre los niños y la escuela y a promover el desarrollo socioemocional. Sin embargo, no ha servido ni para producir mejoras en la asistencia escolar ni para reducir la delincuencia o el consumo de sustancias.",,mixed_evidence,"DC0010-PE0002,DC0011-PE0002,DC0010-PE0012,DC0011-PE0012","https://plataformadeevidencias.iadb.org/pt-br/tipos-solucoes/extensao-do-horario-de-funcionamento-das-escolas,https://www.institutonatura.org/wp-content/uploads/2023/03/A-poli%CC%81tica-de-Educac%CC%A7a%CC%83o-em-Tempo-Integral-no-Estado-brasileiro-de-Pernambuco..pdf,https://obtienearchivo.bcn.cl/obtienearchivo?id=repositorio/10221/33539/1/BCN__Jornada_Escolar_Completa_Final.pdf,https://institutoayrtonsenna.org.br/o-que-fazemos/componentes-educacionais/acelera-brasil/,https://institutoayrtonsenna.org.br/o-que-fazemos/componentes-educacionais/formula-da-vitoria/,https://institutoayrtonsenna.org.br/o-que-fazemos/componentes-educacionais/letramento-em-programacao/,https://www.institutonatura.org/ensino-medio/","5,26","22,79,43,72,73,69"
INI0005,"Programas de meditación en las escuelas (""mindfulness"")","La práctica de la meditación, en el contexto del mindfulness, propugna el uso de técnicas y ejercicios psicoeducativos formales e informales, con el objetivo de desarrollar la capacidad de los participantes para controlar el flujo de pensamientos, así como favorecer la capacidad de concentración en el momento presente y en las emociones y sensaciones, tanto propias como de otras personas de su entorno. Las Intervenciones Basadas en Mindfulness (MBI) se han hecho cada vez más populares y se aplican en entornos escolares, y se utilizan para reducir el estrés y la ansiedad en niños y adolescentes y promover mejoras en las habilidades socioemocionales, el comportamiento y el rendimiento académico. Con ello, las intervenciones pretenden mitigar algunos de los factores de riesgo y reforzar los factores de protección que son determinantes relevantes de la victimización de los jóvenes.","Tuvo un impacto positivo en el desarrollo cognitivo y la resiliencia de los jóvenes, pero ningún impacto en los resultados conductuales o el rendimiento académico (Maynard et al, 2017).",,mixed_evidence,"DC0009-PE0002,DC0009-PE0012","https://plataformadeevidencias.iadb.org/pt-br/tipos-solucoes/meditacao,https://irtinc.us/avada_portfolio/master-mind/",5,"10,69,43"
INI0006,Prevención del abandono escolar,"Abarca acciones e iniciativas dirigidas a prevenir el abandono escolar y a buscar activamente a los estudiantes en riesgo de abandono. Incluyen actividades para i) identificar predictores de abandono, ii) establecer sistemas de alerta temprana del riesgo de abandono, iii) contactar con los alumnos en riesgo de abandono y sus familias mediante llamadas telefónicas y visitas a domicilio, iv) prestar especial atención a los problemas pedagógicos y sociales que producen el riesgo de abandono en cada caso.","Ha reducido las tasas de abandono, absentismo y suspensión/expulsión escolar, ha mejorado el rendimiento escolar y ha aumentado las tasas de finalización de los estudios.",,promising,"DC0011-PE0002,DC0011-PE0012","https://plataformadeevidencias.iadb.org/pt-br/tipos-solucoes/prevencao-do-abandono-escolar,http://gesta.org.br/wp-content/uploads/2017/09/Politicas-Publicas-para-reducao-do-abandono-e-evasao-escolar-de-jovens.pdf,https://ies.ed.gov/ncee/wwc/Docs/PracticeGuide/dp_pg_090308.pdf,https://www.blueprintsprograms.org/program-search/?localPageSize=5000&programType%5B%5D=916&keywords=,https://institutoayrtonsenna.org.br/app/uploads/2022/11/03164135/IAS-e-book-motivacao-para-aprender-vol-1.pdf?_ga=2.69717264.1402297961.1670849625-1126829012.1670534904,https://institutoayrtonsenna.org.br/o-que-fazemos/componentes-educacionais/formula-da-vitoria/,https://institutoayrtonsenna.org.br/o-que-fazemos/componentes-educacionais/acelera-brasil/","5,6,26","21,43,69"
INI0007,Prevención de la violencia y del acoso escolar,"Los programas de prevención de la violencia escolar y contra el acoso incluyen actividades de desarrollo institucional para detectar y gestionar conflictos, que pueden abarcar tanto seminarios de prevención ""masivos"" (grandes grupos de alumnos) como intervenciones específicas para agresores y víctimas anteriores (así como para testigos), destinadas a prevenir la repetición de actos de violencia y/o acoso en el entorno escolar. Pueden incluir actividades dirigidas a desarrollar diferentes habilidades, como la autoconciencia emocional, el control emocional, la autoestima, las habilidades sociales positivas, la resolución de problemas sociales, la resolución de conflictos y el trabajo en equipo. Aunque suelen estar dirigidos por el profesor en el aula, también hay programas que utilizan métodos de enfoque múltiple, con la participación de padres, compañeros o miembros de la comunidad.","Ha generado efectos positivos en la reducción de comportamientos agresivos, perturbadores y de riesgo entre niños y adolescentes, además de ser eficaz en la reducción de la perpetración y victimización por acoso, y ha aumentado la propensión de los espectadores a intervenir en situaciones de acoso.",,promising,"DC0009-PE0002,DC0009-PE0012","https://plataformadeevidencias.iadb.org/pt-br/tipos-solucoes/prevencao-do-bullying,https://plataformadeevidencias.iadb.org/pt-br/tipos-solucoes/prevencao-da-violencia-escolar,https://soudapaz.org/o-que-fazemos/desenvolver/prevencao-da-violencia/adolescencia-e-juventude/juventude-e-prevencao-da-violencia/?show=documentos#1798,https://www.blueprintsprograms.org/program-search/?localPageSize=5000&programType%5B%5D=904&keywords=,https://bvsms.saude.gov.br/bvs/exposicoes/sociedade/publicacoes/noos/proj_esc_azul.pdf,https://pdabullying.com/es/resource/programa-prev@cib","5,26","20,6,69,43"
INI0008,Intervenciones escolares para prevenir la violencia de género,"Se trata de programas escolares que buscan trabajar con los alumnos en sesiones grupales destinadas a difundir información y promover el debate sobre temas como la violencia de género (con especial atención a la violencia sexual y de pareja), las relaciones y roles de género, la educación sexual y reproductiva y la sensibilización sobre actitudes y/o comportamientos problemáticos o de riesgo. Pueden ir desde la elaboración y distribución de materiales informativos, hasta el uso de metodologías participativas mediadas por facilitadores (que pueden o no ser profesores), siempre con el objetivo de aumentar la concienciación de los alumnos, la disposición de las víctimas a denunciar casos de abuso sexual o violencia de pareja, y sensibilizar y formar a alumnos, profesores y personal para que se conviertan en vigilantes capaces de identificar y actuar en situaciones de riesgo. Algunos programas también incluyen actividades en las que participan los padres y otros órganos de gestión escolar, así como los profesores/facilitadores y los alumnos. Entre los casos más conocidos está el programa ""Stepping Stones"" de Sudáfrica.","Puede reducir la violencia (especialmente la violencia física) entre parejas íntimas si se aplica mediante el uso de metodologías participativas que promuevan la reflexión crítica y el desarrollo de las habilidades sociales de los estudiantes. Sin embargo, las evidencias son mixtas en el caso de la violencia sexual.",,mixed_evidence,"DC0025-PE0006,DC0032-PE0008","https://plataformadeevidencias.iadb.org/pt-br/tipos-solucoes/programas-de-reducao-da-violencia-sexual,https://www.samrc.ac.za/article-other/stepping-stones,https://steppingstonesfeedback.org/,https://www.whatworks.co.za/documents/publications/86-stepping-stones-training-manual/file,https://www.college.police.uk/guidance/interventions-reduce-violence-against-women-and-girls-vawg-public-spaces/education-interventions,https://pacecentre.com/who-do-you-tell-presentation/",5,"19,69"
INI0009,Intervenciones integrales para prevenir el consumo de alcohol y drogas entre adolescentes y jóvenes,"Se refieren a programas preventivos integrales que integran intervenciones de distinto tipo (por ejemplo, farmacológicas, psicológicas, psicosociales, ocupacionales o educativas), que pueden estar dirigidas tanto a prevenir (o retrasar) el inicio del consumo, como a reducir (o incluso eliminar) los patrones de uso entre aquellos niños y/o adolescentes que son consumidores precoces de alcohol y drogas. En concreto, estos programas suelen combinar el desarrollo de acciones preventivas y de reducción de daños y consumos, así como englobar iniciativas universales (para toda la comunidad escolar) y acciones selectivas y focalizadas (dirigidas a niños y adolescentes que, o bien presentan un mayor riesgo de consumo, o bien ya se han iniciado en el consumo de alcohol o drogas). En el primer caso, se suelen poner en marcha acciones basadas en talleres interactivos en el entorno escolar, así como otras acciones dirigidas a reforzar los factores de protección y reducir los factores de riesgo, tanto en el ámbito de las relaciones familiares (por ejemplo, mejorando la supervisión parental y reduciendo el consumo de drogas, tabaco o alcohol en el entorno familiar) como en el de las relaciones entre iguales en la escuela y en la comunidad (resistiendo a la presión de grupo y fomentando la ruptura de los lazos de asociación con compañeros infractores o consumidores de drogas). También pueden implicar iniciativas dirigidas al uso estructurado del tiempo libre de los alumnos (por ejemplo, orientar el uso del tiempo libre con actividades deportivas, culturales o educativas). En el caso de las acciones selectivas y específicas, son frecuentes las intervenciones cognitivo-conductuales destinadas a reducir el nivel de consumo y a promover la abstinencia).","El nivel de eficacia varía según la modalidad y el enfoque utilizados en cada caso concreto, así como en función del tipo de sustancia psicoactiva a la que se dirijan. Los factores ambientales también pueden influir y mediar en el impacto potencial de las intervenciones.",,mixed_evidence,"DC0012-PE0002,DC0016-PE0003,DC0028-PE0006,DC0029-PE0006,DC0012-PE0012,DC0012-PE0011","https://plataformadeevidencias.iadb.org/pt-br/tipos-solucoes/prevencao-e-tratamento-do-consumo-de-alcool-e-drogas,https://pbpd.org.br/wp-content/uploads/2020/10/PBPD_-Guia-sobre-Política-de-Drogas-para-Municípios.pdf,https://mibrujula.cl/programas/familias-unidas/,https://mibrujula.cl/programas/programa-general-de-hombres-adultos/",5,"11,69,43"
INI0010,Programas de educación para resistir el abuso de drogas (DARE),"El Drug Abuse Resistance Education (D.A.R.E.) es un tipo de intervención, originada y muy popular en Estados Unidos, en la que agentes de policía visitan las escuelas para advertir a los niños de que las drogas son perjudiciales y deben evitarse y rechazarse cuando se ofrecen. Durante estas visitas, se organizan charlas que suelen combinar los siguientes componentes: i. difusión de información sobre las drogas y sus efectos; ii. despertar el miedo haciendo hincapié en los riesgos asociados al consumo de drogas; iii. un llamamiento moral que pretende concienciar a los alumnos de los males sociales asociados a las drogas; y iv. educación afectiva (promoción de la autoestima de los alumnos, fomento del sentido de la responsabilidad y de la capacidad de los alumnos para resistir la presión de sus compañeros). En Brasil, este programa se ha denominado Programa Educacional de Resistencia a las Drogas y a la Violencia (PROERD), que se basa en el D.A.R.E. y se inspira en él.","Ha resultado ineficaz para reducir el consumo de sustancias psicoactivas y hay algunos indicios de que puede ser contraproducente en el sentido de que, en determinadas circunstancias, puede acabar estimulando el consumo de drogas al picar la curiosidad de niños y adolescentes.",,no_effect,"DC0012-PE0002,DC0012-PE0012,DC0012-PE0011","https://plataformadeevidencias.iadb.org/pt-br/tipos-solucoes/programas-educacionais-de-resistencia-drogas,https://dare.org/","1,5,26","11,69,43"
