id,name
1,Abraão
2,Agronômica
3,Área Rural de Florianópolis
4,Armação do Pântano do Sul
5,Balneário
6,Barra da Lagoa
7,Bom Abrigo
8,Cachoeira do Bom Jesus
9,Cacupé
10,Campeche
11,Canasvieiras
12,Canto
13,Capoeiras
14,Carianos
15,Carvoeira
16,Centro
17,Coloninha
18,Coqueiros
19,Córrego Grande
20,Costeira do Pirajubaé
21,Daniela
22,Estreito
23,Ingleses do Rio Vermelho
24,Itacorubi
25,Itaguaçu
26,Jardim Atlântico
27,João Paulo
28,José Mendes
29,Jurerê Tradicional
30,Jurerê Internacional
31,Lagoa da Conceição
32,Monte Cristo
33,Monte Verde
34,Morro das Pedras
35,Pantanal
36,Pântano do Sul
37,Ponta das Canas
38,Praia Brava
39,Ratones
40,Ribeirão da Ilha
41,Rio Tavares
42,Saco dos Limões
43,Saco Grande
44,Sambaqui
45,Santa Mônica
46,Santo Antônio de Lisboa
47,São João do Rio Vermelho
48,Tapera
49,Tapera da Base
50,Trindade
51,Vargem do Bom Jesus
52,Vargem Grande
53,Vargem Pequena
