code,unit of measure,problem code
IND0001,Tasa por cada 100.000,
IND0002,Tasa por cada 100.000,
IND0003,Tasa por cada 100.000,PE0001
IND0004,Tasa por cada 100.000,PE0002
IND0005,Tasa por cada 100.000,PE0003
IND0006,Tasa por cada 100.000,PE0004
IND0007,Tasa por cada 100.000,PE0005
IND0008,Tasa por cada 100.000,PE0006
IND0009,Tasa por cada 100.000,PE0007
IND0010,Tasa por cada 100.000,PE0008
IND0011,Tasa por cada 100.000,PE0009
IND0012,Tasa por cada 100.000,PE0010
IND0013,Tasa por cada 100.000,PE0011
IND0014,Tasa por cada 100.000,PE0012
IND0015,Tasa por cada 100.000,PE0013
IND0016,Tasa por cada 100.000,PE0014
IND0017,Tasa por cada 100.000,PE0015
IND0018,Tasa por cada 100.000,PE0016
IND0019,Tasa por cada 100.000,PE0017
IND0020,Tasa por cada 100.000,PE0018
IND0021,Tasa por cada 100.000,PE0019
IND0022,Tasa por cada 100.000,PE0020
IND0023,Tasa por cada 100.000,PE0021
IND0024,Tasa por cada 100.000,PE0022
IND0025,Tasa por cada 100.000,PE0023
IND0026,Porcentaje,
IND0027,Porcentaje,
IND0028,Tasa por cada 100.000,
IND0029,Tasa por cada 100.000,
IND0030,Tasa por cada 100.000,
IND0031,Tasa por cada 100.000,
IND0032,Número absoluto,
IND0033,Porcentaje,
IND0034,Porcentaje,
IND0035,Porcentaje,
IND0036,Porcentaje,
IND0037,Porcentaje,
IND0038,Porcentaje,
IND0039,Porcentaje,
IND0040,Porcentaje,
IND0041,Tasa por cada 100.000,
IND0042,Tasa por cada 100.000,
IND0043,Tasa por cada 100.000,
IND0044,Porcentaje,
IND0045,Porcentaje,
IND0046,Porcentaje,
IND0047,Porcentaje,
IND0048,Porcentaje,
IND0049,Tasa por cada 100.000,
IND0050,Número absoluto,
IND0051,Tasa por cada 100.000,
IND0052,Porcentaje,
IND0053,Tasa por cada 100.000,
IND0054,Tasa por cada 100.000,
IND0055,Tasa por cada 100.000,
IND0056,Porcentaje,
IND0057,Porcentaje,
IND0058,Minutos,
IND0059,Tasa por cada 100.000,
IND0060,Número absoluto,
IND0061,Puntaje (0 a 10),
IND0062,Porcentaje,
IND0063,Tasa por cada 100.000,
IND0064,Porcentaje,
IND0065,Ratio,
IND0066,Porcentaje,
IND0067,Tasa por cada 100.000,
IND0068,Porcentaje,
